iter	Passed	Remaining
0	159	159827
1	160	80208
2	161	53669
3	162	40392
4	162	32419
5	163	27100
6	164	23304
7	165	20460
8	165	18249
9	166	16487
10	167	15042
11	168	13843
12	168	12815
13	169	11935
14	170	11174
15	170	10502
16	171	9912
17	172	9385
18	172	8919
19	173	8502
20	174	8123
21	174	7777
22	175	7463
23	176	7171
24	176	6902
25	177	6657
26	178	6433
27	179	6220
28	179	6021
29	180	5836
30	181	5663
31	181	5501
32	182	5351
33	183	5211
34	184	5088
35	185	4965
36	186	4849
37	187	4746
38	188	4640
39	189	4536
40	189	4435
41	190	4343
42	191	4253
43	191	4167
44	192	4089
45	193	4010
46	194	3934
47	194	3864
48	195	3793
49	196	3724
50	196	3660
51	197	3598
52	198	3539
53	198	3482
54	199	3427
55	200	3372
56	200	3322
57	201	3279
58	202	3235
59	203	3188
60	204	3142
61	204	3097
62	205	3055
63	206	3012
64	206	2972
65	207	2932
66	207	2894
67	208	2853
68	208	2817
69	209	2782
70	210	2749
71	210	2717
72	211	2685
73	212	2654
74	212	2625
75	213	2596
76	214	2567
77	214	2539
78	215	2512
79	216	2489
80	217	2468
81	218	2443
82	218	2418
83	219	2394
84	220	2369
85	220	2347
86	221	2323
87	222	2300
88	222	2279
89	223	2258
90	223	2237
91	224	2216
92	225	2197
93	226	2178
94	226	2159
95	227	2142
96	228	2123
97	228	2105
98	229	2088
99	230	2073
100	231	2060
101	231	2041
102	232	2026
103	233	2010
104	233	1994
105	234	1979
106	235	1964
107	236	1949
108	236	1935
109	237	1920
110	237	1905
111	238	1891
112	239	1877
113	239	1863
114	240	1850
115	240	1836
116	241	1823
117	242	1810
118	242	1796
119	243	1784
120	243	1772
121	244	1760
122	245	1747
123	246	1738
124	246	1727
125	247	1717
126	248	1706
127	248	1693
128	249	1683
129	249	1672
130	250	1662
131	251	1651
132	251	1642
133	252	1631
134	253	1622
135	253	1612
136	254	1602
137	254	1592
138	255	1583
139	256	1574
140	256	1564
141	257	1555
142	258	1546
143	258	1537
144	259	1529
145	260	1521
146	261	1515
147	262	1509
148	262	1501
149	263	1492
150	264	1484
151	264	1476
152	265	1468
153	265	1460
154	266	1452
155	266	1444
156	267	1436
157	268	1429
158	268	1421
159	269	1414
160	269	1406
161	270	1399
162	271	1392
163	271	1385
164	272	1378
165	273	1371
166	273	1365
167	274	1358
168	275	1353
169	276	1348
170	276	1342
171	277	1335
172	278	1329
173	278	1323
174	279	1317
175	279	1310
176	280	1304
177	281	1298
178	281	1292
179	282	1286
180	282	1279
181	283	1273
182	283	1267
183	284	1261
184	285	1256
185	285	1250
186	286	1245
187	287	1239
188	287	1234
189	288	1229
190	289	1224
191	290	1220
192	291	1217
193	291	1212
194	292	1207
195	293	1202
196	293	1197
197	294	1192
198	294	1187
199	295	1182
200	296	1177
201	296	1172
202	297	1167
203	298	1162
204	298	1158
205	299	1153
206	299	1148
207	300	1144
208	301	1140
209	301	1135
210	302	1131
211	303	1126
212	303	1122
213	304	1119
214	305	1115
215	306	1112
216	307	1108
217	307	1103
218	308	1099
219	308	1095
220	309	1090
221	310	1086
222	310	1082
223	311	1078
224	311	1074
225	312	1070
226	313	1065
227	313	1062
228	314	1058
229	314	1054
230	315	1050
231	316	1046
232	316	1043
233	317	1039
234	318	1035
235	318	1031
236	319	1029
237	320	1026
238	321	1023
239	322	1019
240	322	1016
241	323	1012
242	323	1008
243	324	1005
244	325	1001
245	325	998
246	326	994
247	326	991
248	327	987
249	328	984
250	328	981
251	329	977
252	330	974
253	330	971
254	331	967
255	331	964
256	332	961
257	333	958
258	334	955
259	334	953
260	335	951
261	336	947
262	337	944
263	337	941
264	338	938
265	338	935
266	339	931
267	340	928
268	340	925
269	341	922
270	341	919
271	342	916
272	343	913
273	343	910
274	344	907
275	344	904
276	345	901
277	346	898
278	346	895
279	347	892
280	347	890
281	348	888
282	349	885
283	350	883
284	351	881
285	351	878
286	352	875
287	353	872
288	353	870
289	354	867
290	354	864
291	355	862
292	356	859
293	356	856
294	357	854
295	358	851
296	358	849
297	359	846
298	359	843
299	360	841
300	361	838
301	361	835
302	362	833
303	363	831
304	364	829
305	364	827
306	365	825
307	366	823
308	367	820
309	367	818
310	368	815
311	368	813
312	369	811
313	370	808
314	370	806
315	371	803
316	371	801
317	372	799
318	373	796
319	373	794
320	374	791
321	374	789
322	375	787
323	376	784
324	377	783
325	377	781
326	378	779
327	379	778
328	380	776
329	381	773
330	381	771
331	382	769
332	382	766
333	383	764
334	384	762
335	384	760
336	385	757
337	385	755
338	386	753
339	387	751
340	387	749
341	388	746
342	388	744
343	389	742
344	390	740
345	390	738
346	391	736
347	391	734
348	392	732
349	394	732
350	395	730
351	395	728
352	396	726
353	397	724
354	397	722
355	398	720
356	398	718
357	399	716
358	400	714
359	400	712
360	401	710
361	402	708
362	402	707
363	403	705
364	404	703
365	404	701
366	405	699
367	406	698
368	407	696
369	408	695
370	409	693
371	410	692
372	411	691
373	411	689
374	412	687
375	413	685
376	413	683
377	414	682
378	415	680
379	415	678
380	416	676
381	417	675
382	418	673
383	418	671
384	419	669
385	419	668
386	420	666
387	421	664
388	422	663
389	423	661
390	424	660
391	425	659
392	425	657
393	426	656
394	427	654
395	428	652
396	428	651
397	429	649
398	430	648
399	431	646
400	431	645
401	432	643
402	433	641
403	434	640
404	434	638
405	435	636
406	435	634
407	436	633
408	437	632
409	438	630
410	438	628
411	439	627
412	440	625
413	440	623
414	441	622
415	442	621
416	443	619
417	443	618
418	444	616
419	445	614
420	445	613
421	446	611
422	447	609
423	447	608
424	448	606
425	448	604
426	449	603
427	450	601
428	451	600
429	452	599
430	452	597
431	453	596
432	454	594
433	454	593
434	455	591
435	456	590
436	457	588
437	457	587
438	458	586
439	459	584
440	460	583
441	460	581
442	461	580
443	462	578
444	462	577
445	463	576
446	464	574
447	465	573
448	465	571
449	466	570
450	467	569
451	468	567
452	468	566
453	469	564
454	470	563
455	470	561
456	471	560
457	472	558
458	472	557
459	473	555
460	474	554
461	474	553
462	475	551
463	476	550
464	477	548
465	477	547
466	478	546
467	479	544
468	479	543
469	480	541
470	481	540
471	481	539
472	482	537
473	483	536
474	483	534
475	484	533
476	485	531
477	485	530
478	486	529
479	487	527
480	487	526
481	488	524
482	489	523
483	489	522
484	490	520
485	490	519
486	491	517
487	492	516
488	492	515
489	493	513
490	494	512
491	494	510
492	495	509
493	496	508
494	497	507
495	497	505
496	498	504
497	499	503
498	499	501
499	500	500
500	501	499
501	501	497
502	502	496
503	503	495
504	504	494
505	504	492
506	505	491
507	505	490
508	506	488
509	507	487
510	508	486
511	508	484
512	509	483
513	510	482
514	511	481
515	511	480
516	512	478
517	513	477
518	513	476
519	514	474
520	515	473
521	515	472
522	516	470
523	517	469
524	517	468
525	518	467
526	519	465
527	519	464
528	520	463
529	520	461
530	521	460
531	522	459
532	522	458
533	523	456
534	524	455
535	525	454
536	525	453
537	526	452
538	527	450
539	527	449
540	528	448
541	529	447
542	529	445
543	530	444
544	531	443
545	531	442
546	532	440
547	532	439
548	533	438
549	534	437
550	534	435
551	535	434
552	536	433
553	536	432
554	537	430
555	537	429
556	538	428
557	539	427
558	539	426
559	540	424
560	541	423
561	541	422
562	542	421
563	542	419
564	543	418
565	544	417
566	544	416
567	545	414
568	546	413
569	546	412
570	547	411
571	547	409
572	548	408
573	549	407
574	549	406
575	550	405
576	550	403
577	551	402
578	552	401
579	552	400
580	553	399
581	554	397
582	554	396
583	555	395
584	555	394
585	556	393
586	557	392
587	557	390
588	558	389
589	559	388
590	559	387
591	560	386
592	561	385
593	561	383
594	562	382
595	562	381
596	563	380
597	564	379
598	565	378
599	565	377
600	566	375
601	566	374
602	567	373
603	568	372
604	568	371
605	569	370
606	569	369
607	570	367
608	571	366
609	571	365
610	572	364
611	573	363
612	573	362
613	574	360
614	574	359
615	575	358
616	576	357
617	576	356
618	577	355
619	577	354
620	578	353
621	579	352
622	579	350
623	580	349
624	581	348
625	581	347
626	582	346
627	582	345
628	583	344
629	584	343
630	584	342
631	585	340
632	586	339
633	586	338
634	587	337
635	587	336
636	588	335
