iter	Passed	Remaining
0	143	142870
1	146	73172
2	151	50393
3	156	38848
4	159	31653
5	162	26877
6	165	23509
7	169	20967
8	171	18919
9	173	17224
10	176	15828
11	178	14680
12	179	13659
13	181	12761
14	181	11943
15	182	11221
16	183	10582
17	183	10014
18	184	9505
19	184	9047
20	185	8633
21	185	8257
22	186	7913
23	186	7598
24	187	7308
25	187	7040
26	188	6791
27	188	6560
28	189	6346
29	190	6145
30	190	5963
31	191	5801
32	192	5637
33	192	5481
34	193	5334
35	194	5196
36	194	5064
37	195	4940
38	195	4822
39	196	4710
40	196	4603
41	197	4501
42	197	4404
43	198	4311
44	198	4222
45	199	4138
46	200	4056
47	200	3978
48	201	3904
49	201	3833
50	202	3764
51	202	3697
52	203	3634
53	203	3572
54	204	3515
55	205	3459
56	205	3406
57	206	3354
58	207	3303
59	207	3255
60	208	3208
61	209	3163
62	209	3118
63	210	3074
64	210	3032
65	211	2991
66	211	2951
67	212	2912
68	213	2874
69	213	2837
70	214	2802
71	214	2767
72	215	2734
73	215	2701
74	216	2669
75	216	2638
76	217	2607
77	218	2577
78	218	2548
79	219	2520
80	219	2492
81	220	2467
82	220	2440
83	221	2415
84	222	2390
85	222	2366
86	223	2342
87	223	2318
88	224	2295
89	224	2273
90	225	2251
91	225	2229
92	226	2208
93	227	2187
94	227	2167
95	228	2147
96	228	2128
97	229	2109
98	229	2090
99	230	2072
100	230	2054
101	231	2036
102	231	2019
103	232	2002
104	232	1985
105	233	1969
106	234	1953
107	234	1938
108	235	1925
109	236	1912
110	236	1898
111	237	1883
112	238	1870
113	238	1856
114	239	1842
115	239	1828
116	240	1814
117	241	1801
118	241	1789
119	242	1776
120	242	1763
121	243	1751
122	243	1739
123	244	1727
124	245	1715
125	245	1704
126	246	1692
127	246	1680
128	247	1670
129	247	1659
130	248	1648
131	249	1638
132	249	1628
133	250	1619
134	251	1609
135	251	1599
136	252	1590
137	253	1580
138	253	1571
139	254	1562
140	255	1553
141	255	1543
142	256	1535
143	256	1526
144	257	1518
145	258	1510
146	258	1501
147	259	1493
148	260	1484
149	260	1476
150	261	1468
151	261	1461
152	262	1453
153	263	1445
154	263	1437
155	264	1429
156	264	1422
157	265	1416
158	266	1409
159	267	1402
160	267	1394
161	268	1387
162	268	1380
163	269	1373
164	269	1366
165	270	1359
166	271	1352
167	271	1345
168	272	1339
169	272	1332
170	273	1326
171	274	1319
172	274	1313
173	275	1307
174	275	1301
175	276	1294
176	277	1288
177	277	1282
178	278	1276
179	279	1271
180	279	1266
181	280	1260
182	281	1255
183	281	1249
184	282	1244
185	283	1239
186	283	1234
187	284	1228
188	285	1223
189	285	1218
190	286	1212
191	286	1207
192	287	1202
193	288	1197
194	288	1192
195	289	1187
196	289	1181
197	290	1176
198	291	1171
199	291	1166
200	292	1162
201	292	1157
202	293	1152
203	294	1147
204	294	1143
205	295	1140
206	296	1135
207	297	1130
208	297	1126
209	298	1121
210	298	1117
211	299	1112
212	300	1108
213	300	1104
214	301	1099
215	301	1095
216	302	1091
217	303	1087
218	303	1082
219	304	1078
220	304	1074
221	305	1070
222	306	1066
223	306	1062
224	307	1060
225	308	1056
226	309	1052
227	310	1049
228	310	1046
229	311	1042
230	312	1038
231	312	1035
232	313	1032
233	314	1029
234	315	1026
235	315	1022
236	316	1018
237	317	1014
238	317	1011
239	318	1007
240	318	1003
241	319	1000
242	319	996
243	320	993
244	321	989
245	321	986
246	322	982
247	322	979
248	323	976
249	324	972
250	325	970
251	325	967
252	326	964
253	327	961
254	327	957
255	328	954
256	329	951
257	329	948
258	330	944
259	330	941
260	331	938
261	331	934
262	332	931
263	332	928
264	333	924
265	334	921
266	334	918
267	335	915
268	335	912
269	336	909
270	336	906
271	337	903
272	338	900
273	338	897
274	339	894
275	340	892
276	340	889
277	341	887
278	342	884
279	342	881
280	343	878
281	344	875
282	344	872
283	345	869
284	345	867
285	346	864
286	346	861
287	347	858
288	347	855
289	348	852
290	348	849
291	349	847
292	349	844
293	350	841
294	351	839
295	351	836
296	352	834
297	352	831
298	353	828
299	354	826
300	354	823
301	355	821
302	356	819
303	356	816
304	357	814
305	357	811
306	358	809
307	359	806
308	359	804
309	360	801
310	360	799
311	361	796
312	361	794
313	362	791
314	362	789
315	363	786
316	364	784
317	364	782
318	365	780
319	366	777
320	366	775
321	367	773
322	367	770
323	368	768
324	369	766
325	369	764
326	370	762
327	371	760
328	372	758
329	372	756
330	373	754
331	373	752
332	374	750
333	375	748
334	375	746
335	376	744
336	377	742
337	377	740
338	378	737
339	378	735
340	379	733
341	379	731
342	380	728
343	381	726
344	381	724
345	382	722
346	382	720
347	383	718
348	383	715
349	384	713
350	385	712
351	385	710
352	386	707
353	386	705
354	387	703
355	387	701
356	388	699
357	388	697
358	389	695
359	390	693
360	390	691
361	391	689
362	391	687
